
service_id	service_type	service_date	cost	service_duration	customer_id
1	Ganti Oli	2024-01-15	300	1.5	101
2	Servis Rutin	2024-01-16	150	1.0	102
3	Ganti Ban	2024-02-10	500	2.0	103
4	Ganti Oli	2024-02-12	120	0.5	104
5	Servis Rutin	2024-03-05	350	2.5	101
6	Ganti Oli	2024-03-20	320	1.5	105
7	Servis Rutin	2024-04-11	160	1.0	106
8	Ganti Ban	2024-04-13	520	2.0	107
9	Ganti Oli	2024-05-15	130	0.5	108
10	Servis Rutin	2024-05-17	370	2.5	109
11	Ganti Ban	2024-06-20	510	2.0	110
12	Ganti Oli	2024-06-21	140	0.5	111
